pub,address
Tingkroen,"Skotlandsgade 1, 2300 København"
Fair Play,"Kurlandsgade 28, 2300 København"
Cafe Englandshus,"Englandsvej 8, 2300 København"
Smut Inn,"Brydes Allé 36, 2300 København"
Cafe Sundet,"Øresundsvej 29A, 2300 København"
Amagerhylden,"Reberbanegade 3, 2300 København"
Lassie Bar,"Hollænderdybet 7, 2300 København"
Amager Pub,"Amagerbrogade 31, 2300 København"
Amagerport Vinstue,"Christmas Møllers Pl. 2, 2300 København"
Haabet Bodega,"Amagerbrogade 10, 2300 København"
Post Bodega,"Lyongade 25, 2300 København"
Holmbladet,"Holmbladsgade 77, 2300 København"
Guldhuset,"Woltersgade 9, 2300 København"
Cafe Højden,"Højdevej 9, 2300 København"
Cafe Sundbyvester,"Skotlandsgade 13, 2300 København"
Johns Kro,"Holmbladsgade 106, 2300 København"
Jaguar Bodega,"Holmbladsgade 12, 2300 København"
Cafe 34,"Kirkegårdsvej 34, 2300 København S"
Skipperstuen,"Amager Landevej 92 A, 2770 Kastrup"
The Irish Bull - Oksen Bodega,"Tårnby Torv 5, 2770 Kastrup"
Cafe Langebro,"Islands Brygge 1B, 2300 København"
Gorms Kro,"Amagerbrogade 258, 2300 København"
Cafe Smil,"Maltagade 16, 2300 København"
Isbjørnen Bar,"Reykjaviksgade 1, 2300 København"
Cafe Haraldsborg,"Islands Brygge 15, 2300 København"
Artilleri Cafeen,"Svend Aukens Pl. 1, 2300 København"
